datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-03-16 00:00,2026-03-16,0,2026-03-16T00:00,11.8,81,8.7,10.9,0.0,0.0,0.0,3,1026.0,1024.5,100,3.8,49,7.2,24140.0,0,多云
2026-03-16 01:00,2026-03-16,1,2026-03-16T01:00,11.6,85,9.2,10.8,0.0,0.0,0.0,3,1025.4,1023.9,100,4.3,42,7.9,24140.0,0,多云
2026-03-16 02:00,2026-03-16,2,2026-03-16T02:00,11.4,86,9.1,10.4,0.0,0.0,0.0,3,1024.5,1023.0,100,5.4,53,10.1,24140.0,0,多云
2026-03-16 03:00,2026-03-16,3,2026-03-16T03:00,11.3,86,9.0,10.3,0.0,0.0,0.0,3,1023.9,1022.4,100,4.8,42,11.9,24140.0,0,多云
2026-03-16 04:00,2026-03-16,4,2026-03-16T04:00,11.1,87,9.0,9.9,0.0,0.0,0.0,3,1023.2,1021.7,100,6.1,50,11.9,24140.0,0,多云
2026-03-16 05:00,2026-03-16,5,2026-03-16T05:00,11.0,88,9.1,10.0,0.0,0.0,0.0,3,1023.1,1021.6,100,4.9,54,11.2,24140.0,0,多云
2026-03-16 06:00,2026-03-16,6,2026-03-16T06:00,10.9,89,9.2,9.9,0.0,0.0,0.0,3,1023.2,1021.7,98,5.4,48,10.4,24140.0,0,多云
2026-03-16 07:00,2026-03-16,7,2026-03-16T07:00,11.0,90,9.4,10.4,0.0,0.0,0.0,3,1023.6,1022.1,95,3.2,63,10.1,24140.0,1,多云
2026-03-16 08:00,2026-03-16,8,2026-03-16T08:00,11.4,89,9.6,10.8,0.0,0.0,0.0,3,1024.1,1022.6,98,3.8,49,7.6,24140.0,1,多云
2026-03-16 09:00,2026-03-16,9,2026-03-16T09:00,11.8,87,9.8,11.3,0.0,0.0,0.0,3,1024.0,1022.5,99,3.4,72,7.9,24140.0,1,多云
2026-03-16 10:00,2026-03-16,10,2026-03-16T10:00,12.6,84,10.0,12.2,0.0,0.0,0.0,3,1023.6,1022.1,98,2.9,83,6.8,24140.0,1,多云
2026-03-16 11:00,2026-03-16,11,2026-03-16T11:00,13.4,80,10.1,12.9,0.0,0.0,0.0,3,1022.8,1021.3,95,4.0,80,9.0,24140.0,1,多云
2026-03-16 12:00,2026-03-16,12,2026-03-16T12:00,13.9,77,9.9,13.4,0.0,0.0,0.0,3,1021.9,1020.4,100,3.2,90,9.0,24140.0,1,多云
2026-03-16 13:00,2026-03-16,13,2026-03-16T13:00,14.2,75,9.9,13.8,0.0,0.0,0.0,3,1021.0,1019.5,100,3.1,69,7.9,24140.0,1,多云
2026-03-16 14:00,2026-03-16,14,2026-03-16T14:00,15.0,72,10.0,14.5,0.0,0.0,0.0,3,1020.3,1018.8,97,3.7,29,8.6,24140.0,1,多云
2026-03-16 15:00,2026-03-16,15,2026-03-16T15:00,15.0,71,9.8,14.1,0.0,0.0,0.0,3,1019.9,1018.5,98,6.5,19,12.6,24140.0,1,多云
2026-03-16 16:00,2026-03-16,16,2026-03-16T16:00,14.9,71,9.7,13.6,0.0,0.0,0.0,3,1020.2,1018.7,100,8.4,20,15.8,24140.0,1,多云
2026-03-16 17:00,2026-03-16,17,2026-03-16T17:00,14.3,77,10.4,13.3,0.2,0.2,0.0,61,1020.6,1019.1,100,7.9,16,16.2,24140.0,1,小雨
2026-03-16 18:00,2026-03-16,18,2026-03-16T18:00,13.8,83,11.0,13.3,0.4,0.4,0.0,61,1021.2,1019.7,100,5.6,27,14.4,24140.0,1,小雨
2026-03-16 19:00,2026-03-16,19,2026-03-16T19:00,13.4,85,10.9,12.8,0.2,0.2,0.0,61,1021.7,1020.2,100,5.9,43,10.8,23720.0,0,小雨
2026-03-16 20:00,2026-03-16,20,2026-03-16T20:00,12.8,84,10.2,11.8,0.0,0.0,0.0,3,1022.1,1020.6,100,7.4,61,13.7,23520.0,0,多云
2026-03-16 21:00,2026-03-16,21,2026-03-16T21:00,12.2,83,9.4,11.3,0.0,0.0,0.0,3,1022.2,1020.7,100,5.1,51,13.7,20620.0,0,多云
2026-03-16 22:00,2026-03-16,22,2026-03-16T22:00,11.8,86,9.6,11.2,0.0,0.0,0.0,3,1021.6,1020.1,100,3.6,45,9.7,23880.0,0,多云
2026-03-16 23:00,2026-03-16,23,2026-03-16T23:00,11.5,88,9.6,11.0,0.0,0.0,0.0,3,1021.2,1019.7,100,2.9,360,6.5,24140.0,0,多云
2026-03-17 00:00,2026-03-17,0,2026-03-17T00:00,11.3,89,9.6,10.8,0.0,0.0,0.0,3,1020.7,1019.2,100,2.7,23,6.1,24140.0,0,多云
2026-03-17 01:00,2026-03-17,1,2026-03-17T01:00,11.1,91,9.7,10.6,0.0,0.0,0.0,3,1020.6,1019.1,100,3.0,14,5.4,24140.0,0,多云
2026-03-17 02:00,2026-03-17,2,2026-03-17T02:00,10.9,92,9.7,10.4,0.2,0.2,0.0,61,1020.3,1018.8,100,3.3,13,6.5,24140.0,0,小雨
2026-03-17 03:00,2026-03-17,3,2026-03-17T03:00,10.7,93,9.7,10.2,0.4,0.4,0.0,61,1019.9,1018.4,100,3.4,18,6.8,23780.0,0,小雨
2026-03-17 04:00,2026-03-17,4,2026-03-17T04:00,10.6,94,9.7,10.2,0.3,0.3,0.0,53,1019.5,1018.0,100,2.6,34,6.8,23800.0,0,中雨
2026-03-17 05:00,2026-03-17,5,2026-03-17T05:00,10.6,95,9.8,10.2,0.1,0.1,0.0,61,1019.7,1018.2,100,2.4,27,5.4,23360.0,0,小雨
2026-03-17 06:00,2026-03-17,6,2026-03-17T06:00,10.6,96,10.0,10.2,0.2,0.2,0.0,53,1019.8,1018.3,100,2.6,16,5.8,24020.0,0,中雨
2026-03-17 07:00,2026-03-17,7,2026-03-17T07:00,10.6,96,10.0,10.3,0.1,0.1,0.0,51,1020.2,1018.7,99,2.5,360,5.8,23360.0,1,小雨
2026-03-17 08:00,2026-03-17,8,2026-03-17T08:00,10.9,95,10.1,10.7,0.0,0.0,0.0,45,1020.4,1018.9,99,1.8,349,5.0,23300.0,1,雾
2026-03-17 09:00,2026-03-17,9,2026-03-17T09:00,11.2,95,10.5,11.1,0.1,0.1,0.0,61,1020.2,1018.7,99,2.2,9,5.0,22780.0,1,小雨
2026-03-17 10:00,2026-03-17,10,2026-03-17T10:00,11.7,93,10.7,11.7,0.0,0.0,0.0,3,1019.9,1018.4,95,2.0,45,5.0,24140.0,1,多云
2026-03-17 11:00,2026-03-17,11,2026-03-17T11:00,12.6,90,11.0,12.7,0.0,0.0,0.0,3,1019.5,1018.0,98,1.5,45,5.4,24140.0,1,多云
2026-03-17 12:00,2026-03-17,12,2026-03-17T12:00,13.5,87,11.4,13.7,0.0,0.0,0.0,3,1018.9,1017.4,96,2.3,72,7.9,24140.0,1,多云
2026-03-17 13:00,2026-03-17,13,2026-03-17T13:00,14.0,85,11.6,14.0,0.0,0.0,0.0,3,1018.0,1016.5,97,4.0,85,8.3,24140.0,1,多云
2026-03-17 14:00,2026-03-17,14,2026-03-17T14:00,14.8,83,12.0,14.9,0.0,0.0,0.0,3,1016.9,1015.5,100,4.2,110,9.4,24140.0,1,多云
2026-03-17 15:00,2026-03-17,15,2026-03-17T15:00,15.1,81,11.9,14.8,0.0,0.0,0.0,3,1016.0,1014.6,100,6.3,114,12.2,24140.0,1,多云
2026-03-17 16:00,2026-03-17,16,2026-03-17T16:00,15.3,79,11.7,15.0,0.0,0.0,0.0,3,1015.6,1014.2,100,5.7,125,12.6,24140.0,1,多云
2026-03-17 17:00,2026-03-17,17,2026-03-17T17:00,15.3,81,12.1,15.5,0.0,0.0,0.0,3,1015.5,1014.1,95,3.4,108,10.8,24140.0,1,多云
