PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1002.1,43.0,28.0,26.2,90.0,21.81,315.0,2.0,301.0,365.6,304.9
1000.0,62.0,28.0,25.1,84.0,20.44,321.0,2.1,301.2,361.6,304.8
984.1,198.0,27.1,24.6,86.0,20.15,356.0,2.7,301.6,361.4,305.2
973.7,287.0,26.4,24.2,88.0,19.87,13.0,2.5,301.8,360.8,305.4
946.0,515.0,24.2,22.8,92.0,18.77,57.0,1.9,302.1,357.8,305.5
940.8,562.0,23.7,22.5,93.0,18.53,61.0,1.9,302.1,357.0,305.4
927.7,720.0,23.2,21.9,92.0,18.1,75.0,1.9,302.8,356.6,306.0
925.0,751.0,22.9,21.8,94.0,18.04,78.0,1.9,302.7,356.4,306.0
916.8,820.0,22.0,21.2,95.0,17.53,85.0,1.9,302.6,354.7,305.7
906.1,905.0,21.3,20.2,93.0,16.66,89.0,2.3,302.9,352.4,305.9
897.0,991.0,21.7,19.5,87.0,16.1,93.0,2.7,304.2,352.3,307.1
888.4,1068.0,21.3,18.7,85.0,15.45,96.0,3.1,304.6,350.9,307.4
886.2,1091.0,20.8,18.7,88.0,15.49,97.0,3.2,304.3,350.6,307.1
885.3,1104.0,20.6,18.2,86.0,15.02,97.0,3.2,304.2,349.1,306.9
883.7,1122.0,21.1,18.7,86.0,15.53,96.0,3.3,304.8,351.4,307.7
882.0,1140.0,20.1,18.6,91.0,15.47,96.0,3.3,304.0,350.2,306.8
878.7,1181.0,19.3,17.8,91.0,14.75,95.0,3.5,303.5,347.5,306.1
877.2,1199.0,20.0,19.2,95.0,16.16,95.0,3.5,304.3,352.7,307.3
876.0,1217.0,18.2,16.0,87.0,13.17,94.0,3.6,302.6,341.8,305.0
873.6,1240.0,18.7,15.6,82.0,12.86,94.0,3.6,303.3,341.7,305.7
871.4,1263.0,21.0,17.6,81.0,14.68,93.0,3.7,305.9,350.2,308.6
869.4,1281.0,21.6,18.3,82.0,15.4,93.0,3.8,306.8,353.4,309.6
868.2,1303.0,20.7,17.3,81.0,14.46,92.0,3.8,306.0,349.6,308.6
866.7,1326.0,19.0,17.0,88.0,14.2,92.0,3.9,304.3,346.9,306.9
863.4,1362.0,18.9,18.0,95.0,15.21,91.0,4.0,304.6,350.1,307.3
850.7,1480.0,18.1,17.4,96.0,14.86,97.0,3.4,305.0,349.6,307.7
850.0,1485.0,17.9,17.1,95.0,14.58,97.0,3.4,304.9,348.7,307.5
848.8,1495.0,17.7,16.8,94.0,14.32,97.0,3.4,304.8,347.8,307.4
845.2,1534.0,15.4,12.3,82.0,10.7,99.0,3.2,302.8,334.7,304.7
