PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
999.5,43.0,29.6,24.9,76.0,20.2,135.0,1.0,302.8,363.0,306.4
993.1,95.0,28.2,23.6,76.0,18.76,136.0,1.6,301.9,357.6,305.3
975.7,251.0,26.7,23.1,81.0,18.52,137.0,3.3,302.0,356.9,305.3
934.9,631.0,23.7,21.7,89.0,17.73,139.0,7.6,302.6,355.3,305.8
925.0,728.0,23.0,21.4,91.0,17.59,143.0,7.6,302.8,355.2,306.0
909.2,874.0,21.7,20.6,93.0,17.03,150.0,7.6,303.0,353.7,306.1
897.3,992.0,21.3,20.5,95.0,17.15,155.0,7.6,303.7,354.9,306.8
895.5,1009.0,21.1,20.4,96.0,17.08,155.0,7.8,303.7,354.7,306.8
884.3,1120.0,21.1,19.7,92.0,16.55,157.0,8.8,304.8,354.4,307.8
878.6,1179.0,21.5,18.9,85.0,15.83,158.0,9.4,305.7,353.4,308.6
861.8,1343.0,20.7,17.8,83.0,15.04,160.0,10.9,306.6,352.1,309.4
861.0,1349.0,20.6,17.6,83.0,14.87,160.0,10.8,306.6,351.5,309.3
853.9,1425.0,21.0,16.9,77.0,14.33,163.0,10.0,307.7,351.3,310.4
850.0,1464.0,20.9,16.7,77.0,14.21,164.0,9.6,308.0,351.3,310.6
830.4,1660.0,19.2,16.7,85.0,14.55,171.0,7.5,308.3,352.6,311.0
827.5,1689.0,19.3,16.4,83.0,14.32,172.0,7.2,308.7,352.4,311.4
807.8,1906.0,19.9,15.6,76.0,13.93,158.0,7.0,311.5,354.5,314.1
795.6,2032.0,18.7,14.8,78.0,13.43,150.0,6.9,311.6,353.0,314.1
792.9,2060.0,18.4,14.6,79.0,13.3,149.0,7.0,311.5,352.6,314.0
777.0,2243.0,17.8,13.7,77.0,12.79,144.0,7.6,312.7,352.4,315.1
765.3,2375.0,16.6,12.9,79.0,12.32,141.0,8.1,312.8,351.0,315.1
759.0,2454.0,16.1,12.7,80.0,12.26,143.0,7.6,313.0,351.1,315.3
757.1,2477.0,16.4,12.6,78.0,12.21,143.0,7.4,313.5,351.6,315.8
735.3,2717.0,15.1,11.2,78.0,11.45,148.0,5.8,314.7,350.6,316.9
