PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1021.6,43.0,7.7,4.3,79.0,5.09,121.0,4.9,279.1,293.2,280.0
1020.9,42.0,7.8,5.2,84.0,5.44,82.0,3.7,279.3,294.3,280.2
1000.0,218.0,6.3,3.8,84.0,5.02,94.0,6.4,279.5,293.4,280.3
976.4,412.0,4.5,3.0,90.0,4.85,87.0,9.1,279.5,293.0,280.3
967.6,486.0,4.2,2.6,89.0,4.77,94.0,10.5,280.0,293.2,280.8
963.0,524.0,3.6,2.4,92.0,4.73,97.0,10.8,279.7,292.9,280.5
958.9,557.0,3.5,2.3,92.0,4.72,99.0,10.9,280.0,293.1,280.8
933.4,780.0,2.4,2.2,99.0,4.79,119.0,8.7,281.0,294.4,281.8
925.0,853.0,2.1,2.1,100.0,4.82,127.0,7.9,281.5,295.0,282.3
916.7,927.0,2.1,2.1,100.0,4.85,134.0,6.9,282.2,295.8,283.0
895.7,1112.0,1.5,1.5,100.0,4.75,164.0,5.9,283.4,296.8,284.2
887.1,1190.0,1.8,1.8,100.0,4.93,173.0,7.2,284.6,298.6,285.4
879.4,1263.0,1.7,1.7,100.0,4.93,183.0,9.1,285.2,299.2,286.0
850.0,1537.0,1.8,1.8,100.0,5.14,202.0,11.1,288.0,302.8,288.9
845.7,1579.0,1.8,1.8,100.0,5.14,208.0,10.6,288.4,303.2,289.3
840.8,1628.0,2.6,2.6,100.0,5.5,216.0,10.3,289.8,305.7,290.7
838.1,1652.0,2.9,2.9,100.0,5.63,220.0,10.4,290.3,306.6,291.3
804.1,1978.0,2.4,2.4,100.0,5.66,242.0,14.3,293.3,309.8,294.3
795.3,2069.0,2.6,2.6,100.0,5.81,247.0,16.1,294.4,311.5,295.4
770.6,2329.0,1.8,1.8,100.0,5.68,254.0,21.0,296.2,313.1,297.3
768.9,2347.0,1.7,1.7,100.0,5.65,254.0,21.2,296.3,313.1,297.3
740.1,2657.0,0.0,0.0,100.0,5.18,256.0,20.9,297.7,313.2,298.6
700.0,3103.0,-2.6,-2.6,100.0,4.51,259.0,18.2,299.6,313.3,300.4
699.6,3108.0,-2.6,-2.6,100.0,4.52,259.0,18.1,299.6,313.3,300.4
697.7,3128.0,-2.6,-2.6,100.0,4.52,260.0,17.7,299.8,313.6,300.6
694.4,3166.0,-3.1,-4.3,91.0,4.02,261.0,16.9,299.7,312.0,300.5
