PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1003.1,43.0,27.4,16.0,50.0,11.45,231.0,2.1,300.3,334.1,302.4
1002.7,49.0,27.6,16.9,52.0,12.14,176.0,1.9,300.5,336.4,302.7
1000.0,76.0,28.7,17.1,50.0,12.31,177.0,2.6,301.8,338.4,304.0
999.9,77.0,28.7,17.0,49.0,12.27,177.0,2.6,301.8,338.3,304.1
997.9,94.0,28.7,16.7,48.0,12.09,178.0,3.0,302.1,338.0,304.2
973.9,306.0,26.8,14.8,48.0,10.93,180.0,4.3,302.3,334.9,304.2
947.0,551.0,24.7,14.5,53.0,11.04,188.0,5.0,302.5,335.5,304.5
925.0,765.0,22.8,14.1,58.0,10.98,185.0,4.6,302.6,335.4,304.6
909.0,921.0,21.4,13.8,62.0,10.95,179.0,4.0,302.7,335.4,304.7
887.6,1126.0,19.7,12.8,64.0,10.53,194.0,2.7,303.0,334.5,304.9
872.0,1282.0,18.2,12.8,71.0,10.7,188.0,2.6,303.0,335.0,304.9
850.0,1500.0,16.1,12.8,81.0,11.02,217.0,2.8,302.9,335.9,305.0
838.4,1616.0,14.9,12.7,87.0,11.11,210.0,3.3,302.9,336.1,305.0
836.1,1639.0,14.9,12.1,83.0,10.68,208.0,3.3,303.2,335.1,305.1
804.4,1960.0,13.1,7.1,67.0,7.87,177.0,2.8,304.6,328.5,306.0
801.6,1990.0,12.9,6.8,67.0,7.77,171.0,2.9,304.7,328.3,306.1
795.8,2050.0,12.5,6.8,69.0,7.84,172.0,2.7,304.9,328.7,306.3
795.2,2056.0,12.5,7.2,70.0,8.02,172.0,2.6,305.0,329.4,306.5
793.2,2078.0,13.3,3.4,51.0,6.16,174.0,2.3,306.0,325.0,307.1
791.5,2096.0,13.9,-3.9,29.0,3.62,176.0,2.0,306.8,318.3,307.5
787.5,2138.0,14.7,-21.6,7.0,0.86,191.0,1.3,308.2,311.1,308.3
785.2,2162.0,15.0,-17.1,9.0,1.27,210.0,1.1,308.8,313.0,309.0
767.8,2350.0,14.0,-16.0,11.0,1.43,329.0,1.1,309.6,314.4,309.9
750.8,2539.0,13.0,-9.9,19.0,2.4,354.0,3.4,310.6,318.5,311.0
734.7,2721.0,11.6,-11.1,19.0,2.23,2.0,5.2,310.9,318.3,311.3
708.4,3025.0,9.3,-12.8,20.0,2.01,357.0,6.6,311.6,318.3,312.0
703.7,3078.0,8.8,-13.1,20.0,1.97,356.0,7.1,311.7,318.3,312.1
700.0,3121.0,8.4,-13.1,20.0,1.99,354.0,7.5,311.8,318.4,312.1
691.2,3225.0,7.5,-13.5,21.0,1.95,352.0,7.7,311.9,318.4,312.2
673.7,3435.0,5.4,-10.9,30.0,2.47,351.0,8.7,311.8,320.0,312.3
658.1,3624.0,3.7,-9.0,39.0,2.93,346.0,9.7,312.0,321.6,312.6
650.4,3720.0,3.0,-11.4,34.0,2.45,342.0,10.4,312.2,320.3,312.7
644.6,3792.0,2.3,-10.9,37.0,2.59,341.0,10.2,312.3,320.8,312.8
638.6,3867.0,1.6,-10.1,41.0,2.78,338.0,9.4,312.3,321.5,312.9
628.2,3999.0,0.6,-11.8,39.0,2.46,340.0,9.3,312.6,320.7,313.1
623.2,4063.0,0.0,-11.0,43.0,2.64,341.0,9.3,312.7,321.4,313.2
616.3,4151.0,-0.8,-10.5,48.0,2.78,337.0,8.9,312.8,321.9,313.3
614.9,4170.0,-0.8,-10.8,47.0,2.73,335.0,8.8,312.9,321.9,313.5
607.3,4268.0,-1.2,-12.6,41.0,2.39,325.0,8.2,313.6,321.6,314.1
600.0,4364.0,-1.2,-19.1,24.0,1.4,312.0,7.8,314.7,319.5,315.0
598.2,4388.0,-1.3,-20.3,22.0,1.28,309.0,7.7,314.9,319.3,315.1
587.1,4537.0,-2.4,-21.9,21.0,1.13,309.0,8.3,315.2,319.2,315.5
579.4,4641.0,-3.3,-22.6,21.0,1.08,311.0,9.7,315.4,319.2,315.6
559.9,4910.0,-4.6,-28.2,14.0,0.67,307.0,12.3,316.9,319.3,317.0
553.8,4995.0,-5.0,-28.7,14.0,0.65,302.0,13.2,317.5,319.9,317.6
537.5,5228.0,-6.9,-33.4,10.0,0.43,302.0,14.5,317.9,319.5,318.0
533.2,5291.0,-7.1,-34.7,9.0,0.38,299.0,14.4,318.5,319.9,318.5
520.0,5486.0,-7.9,-45.6,3.0,0.12,294.0,13.9,319.7,320.2,319.7
508.0,5666.0,-9.3,-44.5,4.0,0.14,296.0,15.5,320.2,320.8,320.2
500.0,5787.0,-9.9,-48.3,3.0,0.1,295.0,17.2,320.9,321.2,320.9
483.5,6043.0,-11.9,-43.9,5.0,0.16,290.0,18.8,321.5,322.1,321.5
479.1,6113.0,-12.6,-43.4,6.0,0.17,289.0,18.9,321.5,322.2,321.5
459.8,6425.0,-14.4,-60.5,1.0,0.02,290.0,20.8,323.1,323.2,323.1
436.8,6810.0,-17.0,-62.2,1.0,0.02,286.0,23.2,324.6,324.7,324.6
435.7,6829.0,-17.1,-62.2,1.0,0.02,286.0,23.6,324.7,324.8,324.7
420.5,7094.0,-18.5,-39.9,13.0,0.28,282.0,28.1,326.2,327.3,326.2
414.6,7199.0,-19.3,-40.1,14.0,0.28,282.0,28.8,326.5,327.6,326.6
407.1,7333.0,-20.0,-42.6,12.0,0.22,282.0,29.1,327.3,328.2,327.4
400.0,7463.0,-20.9,-44.0,11.0,0.19,281.0,29.2,327.7,328.5,327.8
392.9,7595.0,-21.9,-44.9,11.0,0.18,281.0,30.1,328.1,328.8,328.2
389.6,7657.0,-22.3,-44.6,11.0,0.19,280.0,30.9,328.4,329.1,328.4
382.4,7793.0,-23.0,-37.6,25.0,0.4,276.0,33.4,329.2,330.7,329.3
382.0,7800.0,-23.0,-37.4,26.0,0.4,276.0,33.5,329.3,330.8,329.3
366.5,8101.0,-25.3,-40.7,22.0,0.3,272.0,35.6,330.2,331.4,330.3
362.8,8175.0,-25.5,-38.2,30.0,0.39,273.0,35.6,330.9,332.4,330.9
361.7,8196.0,-25.7,-38.0,31.0,0.4,273.0,35.7,330.9,332.5,331.0
357.6,8278.0,-26.3,-38.4,31.0,0.39,276.0,35.9,331.2,332.7,331.2
344.1,8555.0,-28.6,-45.2,19.0,0.2,283.0,36.2,331.8,332.5,331.8
342.1,8596.0,-28.8,-46.2,17.0,0.18,285.0,36.7,332.0,332.7,332.1
333.4,8780.0,-29.3,-51.0,11.0,0.11,290.0,40.9,333.7,334.2,333.8
326.9,8919.0,-29.8,-43.6,25.0,0.25,287.0,42.6,335.0,336.0,335.0
323.3,8998.0,-30.4,-40.7,36.0,0.34,286.0,42.5,335.2,336.6,335.3
317.3,9130.0,-31.5,-37.7,54.0,0.47,283.0,43.4,335.4,337.3,335.5
313.0,9227.0,-31.9,-37.2,59.0,0.5,281.0,44.6,336.2,338.2,336.3
308.3,9333.0,-32.8,-37.9,61.0,0.48,280.0,45.5,336.3,338.2,336.4
305.6,9394.0,-33.3,-39.5,54.0,0.41,280.0,45.8,336.5,338.1,336.6
300.0,9523.0,-34.1,-41.3,49.0,0.35,283.0,46.4,337.1,338.5,337.2
293.9,9666.0,-35.2,-44.1,40.0,0.26,287.0,49.1,337.6,338.7,337.7
288.5,9795.0,-36.0,-43.7,45.0,0.28,287.0,50.0,338.2,339.4,338.3
287.6,9817.0,-36.2,-43.6,47.0,0.28,286.0,49.9,338.2,339.4,338.3
275.4,10115.0,-38.7,-44.1,57.0,0.28,283.0,48.3,338.8,340.0,338.9
269.8,10254.0,-39.5,-46.5,47.0,0.22,280.0,49.5,339.8,340.7,339.8
266.1,10348.0,-40.1,-47.5,45.0,0.2,280.0,49.3,340.2,341.0,340.2
253.2,10682.0,-43.0,-48.0,58.0,0.2,280.0,52.6,340.7,341.5,340.8
250.0,10769.0,-43.6,-48.1,61.0,0.2,280.0,52.9,341.1,341.9,341.1
242.8,10962.0,-44.9,-48.4,68.0,0.2,280.0,57.0,342.0,342.8,342.0
236.7,11132.0,-46.3,-49.6,69.0,0.18,278.0,57.6,342.4,343.1,342.4
227.2,11401.0,-48.6,-52.5,64.0,0.13,277.0,58.6,342.9,343.4,342.9
221.2,11577.0,-49.8,-54.3,59.0,0.11,278.0,61.4,343.8,344.2,343.8
217.0,11702.0,-50.5,-55.5,55.0,0.1,277.0,62.4,344.5,345.0,344.6
206.2,12030.0,-53.3,-58.7,52.0,0.07,275.0,62.7,345.2,345.5,345.2
202.2,12156.0,-54.4,-59.7,52.0,0.06,276.0,63.3,345.3,345.6,345.3
200.0,12226.0,-55.1,-60.2,53.0,0.06,276.0,63.6,345.4,345.6,345.4
194.6,12399.0,-56.8,-61.9,53.0,0.05,275.0,64.1,345.4,345.6,345.4
192.3,12474.0,-57.5,-62.9,50.0,0.04,275.0,62.8,345.5,345.6,345.5
178.8,12928.0,-61.5,-68.7,38.0,0.02,281.0,60.3,346.1,346.2,346.1
177.2,12985.0,-61.7,-69.1,38.0,0.02,283.0,59.6,346.6,346.7,346.6
172.3,13155.0,-62.2,-69.8,36.0,0.02,286.0,57.9,348.6,348.7,348.6
168.2,13304.0,-63.3,-71.1,35.0,0.02,285.0,59.3,349.2,349.2,349.2
162.8,13503.0,-63.2,-71.5,32.0,0.02,284.0,58.1,352.7,352.8,352.7
156.2,13756.0,-64.1,-73.0,30.0,0.01,283.0,58.2,355.3,355.3,355.3
152.0,13920.0,-65.5,-74.6,28.0,0.01,283.0,60.1,355.8,355.8,355.8
150.0,14001.0,-65.5,-74.8,27.0,0.01,285.0,59.6,357.0,357.1,357.0
137.6,14525.0,-64.0,-76.0,19.0,0.01,281.0,50.4,368.6,368.6,368.6
135.3,14631.0,-64.0,-76.3,18.0,0.01,280.0,49.8,370.3,370.4,370.3
130.9,14833.0,-62.0,-75.3,16.0,0.01,282.0,46.6,377.4,377.5,377.4
126.0,15066.0,-62.8,-76.9,14.0,0.01,291.0,44.4,380.2,380.2,380.2
125.5,15090.0,-63.0,-79.1,10.0,0.01,291.0,44.2,380.3,380.3,380.3
125.3,15100.0,-63.0,-75.9,17.0,0.01,292.0,44.0,380.3,380.4,380.3
106.1,16109.0,-66.6,-81.0,12.0,0.01,288.0,30.0,392.0,392.1,392.0
100.2,16450.0,-68.1,-82.3,12.0,0.01,276.0,30.7,395.6,395.7,395.6
