PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1007.5,43.0,17.2,14.8,86.0,10.58,352.0,2.3,289.7,319.6,291.6
1000.2,106.0,17.5,14.3,81.0,10.26,358.0,3.4,290.6,319.7,292.4
1000.0,108.0,17.4,14.3,82.0,10.26,359.0,3.4,290.6,319.7,292.4
954.3,507.0,13.7,13.3,97.0,10.08,32.0,3.6,290.7,319.4,292.5
947.1,572.0,13.3,12.9,97.0,9.92,29.0,3.4,291.0,319.2,292.7
925.0,772.0,12.1,11.6,97.0,9.31,56.0,3.7,291.6,318.2,293.3
909.3,916.0,11.3,11.1,99.0,9.18,65.0,3.9,292.3,318.6,293.9
908.1,927.0,11.2,11.0,99.0,9.11,66.0,4.0,292.3,318.4,293.9
903.1,975.0,10.8,9.8,94.0,8.47,68.0,4.4,292.3,316.7,293.8
892.8,1071.0,11.2,10.0,93.0,8.69,67.0,4.7,293.7,318.8,295.2
882.1,1172.0,10.7,10.5,99.0,9.09,77.0,4.0,294.2,320.5,295.8
879.9,1195.0,11.2,11.0,98.0,9.4,84.0,3.6,294.9,322.2,296.6
871.3,1275.0,11.6,11.4,99.0,9.76,125.0,2.2,296.2,324.6,297.9
865.7,1329.0,11.7,11.6,99.0,9.93,168.0,2.7,296.9,325.8,298.6
863.0,1355.0,11.9,11.7,99.0,10.05,181.0,3.4,297.3,326.7,299.1
858.4,1399.0,13.6,13.4,99.0,11.32,190.0,4.6,299.5,332.9,301.6
854.3,1439.0,13.9,13.8,99.0,11.65,192.0,5.6,300.2,334.6,302.3
850.0,1481.0,13.9,13.7,99.0,11.7,196.0,6.0,300.7,335.3,302.8
841.3,1570.0,13.8,13.6,99.0,11.69,203.0,5.4,301.4,336.1,303.5
837.9,1603.0,13.6,13.4,99.0,11.63,206.0,5.0,301.6,336.1,303.7
803.5,1955.0,12.0,11.8,99.0,10.89,234.0,6.7,303.5,336.2,305.5
768.3,2326.0,10.0,10.0,100.0,10.08,250.0,8.8,305.3,335.8,307.2
766.3,2349.0,10.0,10.0,100.0,10.1,248.0,8.9,305.6,336.1,307.4
760.3,2413.0,9.3,9.3,100.0,9.74,242.0,8.7,305.5,335.0,307.3
757.1,2449.0,8.4,6.6,88.0,8.12,238.0,8.4,304.9,329.5,306.4
748.3,2548.0,7.7,5.7,87.0,7.69,230.0,6.9,305.1,328.5,306.5
743.5,2602.0,7.1,3.4,77.0,6.59,224.0,6.5,305.0,325.2,306.2
735.4,2693.0,7.4,3.0,74.0,6.49,215.0,6.9,306.3,326.3,307.5
721.6,2852.0,7.8,2.0,67.0,6.12,210.0,7.6,308.4,327.4,309.5
702.6,3075.0,6.9,1.2,67.0,5.97,207.0,6.2,309.7,328.4,310.8
700.0,3106.0,6.7,1.0,67.0,5.88,207.0,6.1,309.9,328.3,311.0
699.8,3108.0,6.7,1.0,67.0,5.88,207.0,6.1,309.9,328.3,311.0
672.3,3435.0,4.3,0.8,78.0,6.02,222.0,9.1,310.8,329.7,311.9
658.9,3598.0,3.0,0.8,86.0,6.17,215.0,10.8,311.1,330.5,312.2
641.5,3815.0,1.6,0.4,91.0,6.15,212.0,12.6,312.0,331.4,313.1
622.0,4062.0,0.0,-0.4,97.0,5.97,228.0,11.7,312.8,331.8,314.0
618.4,4108.0,-0.4,-0.5,99.0,5.98,231.0,11.7,312.9,331.9,314.1
613.0,4178.0,-0.9,-1.0,99.0,5.81,235.0,11.3,313.1,331.6,314.2
600.0,4349.0,-1.9,-1.9,100.0,5.55,242.0,11.4,313.9,331.6,314.9
596.8,4391.0,-2.1,-2.1,100.0,5.5,245.0,11.8,314.1,331.7,315.2
591.1,4468.0,-3.2,-3.4,98.0,5.03,250.0,12.9,313.8,329.9,314.7
585.6,4542.0,-3.8,-4.5,95.0,4.67,253.0,15.0,313.8,328.8,314.7
584.7,4553.0,-4.0,-6.2,85.0,4.12,254.0,15.4,313.7,327.0,314.5
584.3,4559.0,-4.1,-6.1,86.0,4.16,254.0,15.6,313.7,327.2,314.5
583.0,4576.0,-4.2,-6.6,84.0,4.02,254.0,16.2,313.7,326.7,314.5
582.1,4589.0,-4.5,-8.3,74.0,3.5,255.0,16.6,313.6,325.0,314.3
578.7,4635.0,-4.8,-9.3,71.0,3.27,255.0,17.9,313.7,324.4,314.4
578.2,4641.0,-4.8,-10.6,64.0,2.94,255.0,18.1,313.8,323.4,314.3
577.3,4653.0,-4.9,-9.7,69.0,3.18,255.0,18.5,313.9,324.3,314.5
576.4,4665.0,-5.0,-12.0,58.0,2.65,255.0,18.9,313.9,322.6,314.4
572.4,4720.0,-4.4,-13.2,50.0,2.41,254.0,20.3,315.2,323.3,315.7
567.7,4786.0,-2.4,-18.2,29.0,1.61,253.0,22.1,318.3,323.8,318.6
566.4,4803.0,-2.2,-17.5,30.0,1.71,253.0,22.7,318.7,324.6,319.0
564.6,4828.0,-1.8,-21.6,20.0,1.21,252.0,23.4,319.5,323.7,319.7
559.0,4908.0,-2.0,-27.9,12.0,0.69,249.0,24.6,320.2,322.7,320.3
556.8,4938.0,-1.4,-31.3,8.0,0.5,248.0,24.8,321.2,323.1,321.3
554.7,4969.0,-1.3,-33.1,7.0,0.42,247.0,24.9,321.7,323.3,321.8
534.3,5265.0,-3.6,-33.4,8.0,0.43,243.0,24.0,322.4,324.0,322.5
530.9,5315.0,-3.9,-32.8,9.0,0.46,244.0,24.4,322.6,324.3,322.7
524.6,5410.0,-4.1,-36.4,6.0,0.33,246.0,25.1,323.5,324.7,323.5
516.3,5534.0,-5.4,-33.7,9.0,0.43,246.0,25.1,323.5,325.1,323.5
508.2,5658.0,-5.9,-34.9,8.0,0.39,243.0,25.3,324.3,325.7,324.3
500.0,5784.0,-7.0,-36.5,7.0,0.34,242.0,25.8,324.5,325.8,324.5
480.2,6097.0,-9.8,-35.3,10.0,0.4,244.0,27.6,324.8,326.3,324.9
474.5,6188.0,-10.6,-35.4,11.0,0.4,242.0,27.8,324.9,326.4,325.0
460.6,6416.0,-11.7,-36.7,11.0,0.36,237.0,27.0,326.2,327.6,326.3
456.0,6492.0,-12.4,-36.8,11.0,0.36,238.0,27.3,326.3,327.7,326.4
451.8,6563.0,-13.0,-37.4,11.0,0.34,241.0,28.4,326.4,327.7,326.5
439.8,6768.0,-13.7,-38.8,10.0,0.3,248.0,30.6,328.1,329.3,328.1
433.2,6882.0,-14.8,-38.5,11.0,0.32,248.0,30.3,328.1,329.4,328.2
