PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1003.3,43.0,19.6,2.8,33.0,4.65,233.0,3.5,292.5,306.2,293.3
1002.9,42.0,19.6,4.4,37.0,5.22,224.0,3.9,292.5,307.8,293.4
1000.0,62.0,21.0,4.7,35.0,5.36,222.0,4.9,294.1,309.9,295.1
999.2,69.0,21.1,4.6,34.0,5.34,221.0,5.2,294.3,310.1,295.3
992.8,124.0,20.9,3.6,32.0,4.98,220.0,6.8,294.6,309.4,295.5
985.0,198.0,21.5,2.8,29.0,4.75,220.0,8.5,295.9,310.1,296.7
959.3,431.0,20.4,0.7,27.0,4.2,214.0,9.4,297.1,309.8,297.8
945.5,557.0,19.3,0.2,28.0,4.09,212.0,8.2,297.2,309.6,297.9
925.0,743.0,17.7,-0.6,29.0,3.97,209.0,7.9,297.4,309.4,298.1
910.7,879.0,16.5,-0.9,31.0,3.94,225.0,7.9,297.5,309.5,298.2
908.2,903.0,16.4,-1.3,30.0,3.84,229.0,7.8,297.7,309.3,298.3
890.5,1065.0,15.6,-2.8,28.0,3.5,250.0,6.9,298.5,309.2,299.1
870.1,1262.0,13.8,-3.4,30.0,3.4,252.0,5.8,298.6,309.0,299.2
857.5,1381.0,12.7,-3.7,32.0,3.4,251.0,6.6,298.7,309.2,299.3
851.8,1434.0,13.0,-6.6,25.0,2.74,250.0,7.0,299.5,308.1,300.0
850.0,1454.0,13.3,-9.0,20.0,2.28,250.0,7.1,300.1,307.3,300.5
842.1,1532.0,14.6,-18.2,9.0,1.08,257.0,7.9,302.2,305.8,302.4
836.3,1592.0,14.5,-17.0,10.0,1.21,259.0,8.4,302.8,306.8,303.0
834.6,1609.0,14.4,-17.0,10.0,1.2,258.0,8.5,302.8,306.8,303.0
822.0,1739.0,13.4,-16.3,11.0,1.3,263.0,8.6,303.0,307.3,303.3
802.3,1943.0,11.5,-14.4,15.0,1.57,264.0,9.2,303.1,308.3,303.4
783.1,2142.0,9.7,-11.5,21.0,2.03,261.0,9.1,303.3,309.9,303.7
769.2,2286.0,9.0,-13.1,20.0,1.82,267.0,9.9,304.1,310.0,304.5
768.2,2298.0,9.0,-13.2,19.0,1.79,267.0,9.9,304.2,310.0,304.5
