PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1005.8,43.0,20.5,11.9,58.0,8.74,76.0,2.9,293.2,318.4,294.7
1000.0,96.0,20.3,12.1,59.0,8.89,95.0,5.8,293.4,319.1,295.0
974.6,315.0,18.4,10.8,61.0,8.34,91.0,7.3,293.7,317.9,295.2
961.6,430.0,18.9,9.2,53.0,7.62,99.0,7.1,295.3,317.6,296.7
947.3,560.0,18.5,10.0,58.0,8.13,105.0,5.7,296.1,320.0,297.6
941.8,609.0,18.1,9.9,59.0,8.14,104.0,5.7,296.2,320.1,297.7
925.0,762.0,16.7,9.8,64.0,8.26,110.0,5.7,296.4,320.6,297.9
901.6,980.0,15.2,8.9,66.0,7.95,119.0,4.1,297.1,320.5,298.5
863.6,1343.0,12.1,7.9,75.0,7.74,150.0,3.6,297.4,320.3,298.8
855.9,1418.0,11.4,7.7,78.0,7.73,162.0,3.6,297.5,320.2,298.8
850.0,1475.0,11.1,7.7,80.0,7.76,175.0,3.2,297.7,320.6,299.1
835.8,1617.0,10.2,7.9,86.0,8.02,225.0,2.1,298.2,321.9,299.7
830.6,1669.0,10.1,6.9,80.0,7.53,241.0,2.1,298.7,321.0,300.0
827.7,1698.0,9.9,6.6,80.0,7.43,245.0,2.2,298.7,320.8,300.0
798.6,1997.0,8.3,4.8,79.0,6.75,287.0,2.9,300.1,320.3,301.3
792.0,2063.0,9.0,4.7,74.0,6.76,285.0,2.3,301.6,321.9,302.8
788.9,2096.0,9.5,4.6,72.0,6.77,280.0,2.3,302.5,323.0,303.7
783.3,2156.0,10.2,1.8,56.0,5.57,268.0,2.6,303.8,320.9,304.8
771.1,2285.0,9.3,0.7,55.0,5.21,264.0,3.5,304.2,320.3,305.2
766.1,2339.0,9.9,-0.2,50.0,4.94,265.0,3.3,305.4,320.8,306.4
763.3,2368.0,9.7,-0.6,49.0,4.81,264.0,3.2,305.6,320.5,306.5
758.6,2420.0,9.3,-1.4,47.0,4.54,264.0,3.1,305.7,319.8,306.5
745.5,2564.0,8.0,-3.0,45.0,4.1,258.0,3.1,305.8,318.7,306.6
