PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1018.4,43.0,11.3,5.8,69.0,5.68,87.0,3.2,283.0,298.9,283.9
1000.0,205.0,10.1,5.3,72.0,5.6,94.0,3.5,283.3,299.0,284.2
951.6,636.0,6.2,4.1,87.0,5.39,83.0,5.7,283.3,298.5,284.2
931.7,810.0,4.6,3.1,90.0,5.15,76.0,8.0,283.4,297.9,284.3
925.6,862.0,4.7,2.4,85.0,4.92,76.0,7.4,284.0,298.0,284.9
925.0,868.0,4.6,2.4,85.0,4.9,75.0,7.3,284.0,297.9,284.9
910.8,995.0,3.7,2.0,89.0,4.84,69.0,6.9,284.3,298.1,285.2
894.5,1139.0,2.4,1.5,94.0,4.78,64.0,6.4,284.4,298.0,285.3
879.8,1277.0,1.7,1.5,99.0,4.86,49.0,4.7,285.0,298.9,285.9
870.8,1359.0,1.1,0.7,97.0,4.62,30.0,4.3,285.3,298.5,286.1
855.2,1513.0,0.0,-0.1,99.0,4.43,18.0,4.9,285.6,298.3,286.4
850.0,1562.0,-0.4,-0.8,97.0,4.26,27.0,3.6,285.7,298.0,286.5
844.2,1619.0,-0.6,-1.2,96.0,4.15,50.0,1.9,286.1,298.0,286.8
842.9,1630.0,0.1,-2.2,85.0,3.87,57.0,1.6,286.9,298.1,287.6
840.2,1660.0,3.4,-3.8,60.0,3.44,79.0,0.9,290.6,300.8,291.2
838.5,1677.0,3.9,-3.9,57.0,3.43,95.0,0.6,291.3,301.5,291.9
834.2,1717.0,3.6,-4.9,54.0,3.19,360.0,0.0,291.4,301.0,292.0
816.7,1884.0,2.8,-6.0,52.0,2.98,13.0,2.6,292.4,301.4,292.9
810.8,1940.0,2.4,-4.2,62.0,3.45,18.0,3.1,292.5,302.8,293.1
803.4,2008.0,1.9,-4.6,62.0,3.39,3.0,3.6,292.8,303.0,293.4
798.8,2056.0,1.8,-4.6,63.0,3.39,352.0,4.2,293.1,303.3,293.7
793.9,2104.0,1.6,-4.5,64.0,3.44,344.0,4.9,293.4,303.8,294.0
788.7,2160.0,1.6,-9.6,43.0,2.34,339.0,5.4,294.1,301.2,294.5
782.7,2219.0,1.3,-15.0,28.0,1.52,336.0,5.1,294.4,299.2,294.6
775.8,2290.0,0.9,-12.0,38.0,1.97,339.0,4.3,294.7,300.8,295.0
770.1,2350.0,0.7,-15.0,30.0,1.54,347.0,4.1,295.0,299.9,295.3
765.7,2396.0,0.6,-14.5,31.0,1.63,349.0,4.4,295.4,300.6,295.7
764.0,2414.0,0.5,-13.8,33.0,1.73,349.0,4.5,295.5,300.9,295.8
760.6,2450.0,0.2,-13.4,35.0,1.79,346.0,5.0,295.6,301.2,295.9
